STATE,COUNTY,StateCounty,HHLDS,GINI,,----------------------INCOME BY QUINTILE LIMIT----------,,, ,COUNTY,,,---------------MEAN INCOME BY QUINTILE----------,,,95%,,,---------------PERCENT SHARE BY QUINTILE----------,,,95%
New York,Taos County,35053,6690,0.492984315,9030,18000,30975,52000,97000,34438,4513,13402,23840,40967,89470,148183,0.026379982,0.077817356,0.138427552,0.237873007,0.519502103,0.215104467
New York,Torrance County,35055,12701,0.492696247,10300,20200,34400,52375,100000,37584,5317,15253,27049,41893,98409,185103,0.028675427,0.081133289,0.143879966,0.222841729,0.523469589,0.246154868
New York,Union County,35057,6067,0.443526809,13000,24500,36865,55475,90000,39080,7347,18975,30388,44534,94155,170807,0.037634051,0.097105354,0.155513967,0.22790668,0.481839947,0.21852813
New York,Valencia County,35059,1728,0.409014715,12770,22375,35000,52010,87640,35197,7913,17575,28233,42418,79843,122211,0.045905248,0.099768869,0.16027473,0.240798976,0.453252177,0.173440871
New York,Albany County,35061,22714,0.408501507,15600,27490,40200,61005,96500,41664,8948,21705,33861,49778,94027,149109,0.043028714,0.104183303,0.162529127,0.238932707,0.451326149,0.178929359
New York,Allegany County,36001,120645,0.444794201,18500,34090,53255,81000,141000,55982,9938,26405,43261,65814,134493,228597,0.035516442,0.094332508,0.154549336,0.235123116,0.480478597,0.204166966
New York,Bronx County,36003,18056,0.429656137,13970,25400,38790,57515,94585,40359,8162,19659,32057,47356,94563,162209,0.040558499,0.097409666,0.158837942,0.234645888,0.468548005,0.2009324
New York,Broome County,36005,463242,0.514685714,8000,20270,35245,59535,107000,38960,3666,13747,27701,46178,103508,181953,0.018858253,0.070566297,0.142197085,0.237041756,0.531336609,0.233503089
New York,Cattaraugus County,36007,80917,0.451428745,15070,28000,43460,66995,116610,46607,8550,21410,35349,53978,113749,198736,0.036704993,0.091874953,0.151685114,0.231624623,0.488110317,0.213199895
New York,Cayuga County,36009,32055,0.407670929,15315,27000,40000,60000,98000,41061,9194,21056,33409,49160,92487,148387,0.044862882,0.10255137,0.162714998,0.239428636,0.450442114,0.180674036
New York,Chautauqua County,36011,30589,0.410224808,16865,30455,45000,66000,105005,45861,9886,23699,37593,54667,103460,172366,0.043193621,0.10334361,0.163929004,0.238383234,0.45115053,0.187906568
New York,Chemung County,36013,54488,0.423452267,15000,26865,40405,60515,103000,42162,8859,20748,33432,49860,97911,162619,0.042124709,0.098408039,0.158571406,0.236491788,0.464404058,0.192829665
New York,Chenango County,36015,35076,0.426556436,15810,29330,43830,65740,110550,45469,8917,22597,36356,53567,105908,177784,0.039261713,0.09939124,0.159909249,0.235608861,0.465828938,0.195492531
