Table with column headers in row 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State FIPS,County FIPS,Postal,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
00,000,US,United States,"46,215,956","45,975,650","46,456,262",15.3,15.2,15.4,"15,749,129","15,621,395","15,876,863",21.6,21.4,21.8,"10,484,513","10,394,015","10,575,011",19.8,19.6,20.0,"50,046","49,982","50,110","4,961,524","4,910,772","5,012,276",25.0,24.8,25.2
36,000,NY,New York,"2,840,564","2,806,009","2,875,119",15.0,14.8,15.2,"912,004","893,606","930,402",21.5,21.1,21.9,"621,649","605,530","637,768",20.0,19.5,20.5,"54,047","53,677","54,417","275,636","266,722","284,550",24.4,23.6,25.2
36,001,NY,Albany County,"38,140","34,091","42,189",13.2,11.8,14.6,"10,337","8,822","11,852",17.4,14.9,19.9,"6,669","5,568","7,770",15.1,12.6,17.6,"53,783","51,166","56,400",,,,,,
36,003,NY,Allegany County,"7,607","6,339","8,875",17.2,14.3,20.1,"2,377","1,878","2,876",23.0,18.2,27.8,"1,599","1,242","1,956",21.0,16.3,25.7,"41,384","39,498","43,270",,,,,,
36,005,NY,Bronx County,"404,576","385,169","423,983",30.0,28.6,31.4,"152,072","143,452","160,692",42.2,39.8,44.6,"106,423","99,948","112,898",41.0,38.5,43.5,"32,674","31,401","33,947",,,,,,
36,007,NY,Broome County,"31,424","28,040","34,808",16.5,14.7,18.3,"9,229","7,781","10,677",23.4,19.7,27.1,"6,176","5,168","7,184",21.2,17.7,24.7,"43,920","41,935","45,905",,,,,,
36,009,NY,Cattaraugus County,"11,651","9,961","13,341",15.0,12.8,17.2,"4,042","3,230","4,854",22.1,17.7,26.5,"2,658","2,082","3,234",20.0,15.7,24.3,"41,266","39,508","43,024",,,,,,
36,011,NY,Cayuga County,"9,562","7,725","11,399",12.6,10.2,15.0,"3,178","2,475","3,881",19.0,14.8,23.2,"2,148","1,650","2,646",17.3,13.3,21.3,"48,453","46,719","50,187",,,,,,
36,013,NY,Chautauqua County,"22,365","19,284","25,446",17.3,14.9,19.7,"7,299","5,879","8,719",25.4,20.4,30.4,"4,978","3,976","5,980",23.6,18.9,28.3,"39,981","37,887","42,075",,,,,,
36,015,NY,Chemung County,"13,039","10,722","15,356",15.6,12.8,18.4,"4,399","3,499","5,299",22.7,18.1,27.3,"2,884","2,249","3,519",20.4,15.9,24.9,"46,130","43,749","48,511",,,,,,
36,017,NY,Chenango County,"7,918","6,586","9,250",16.0,13.3,18.7,"2,636","2,076","3,196",23.6,18.6,28.6,"1,810","1,423","2,197",21.5,16.9,26.1,"41,418","39,478","43,358",,,,,,
