County,Republican,Democratic,Independence,Conservative,Liberal,Working Green  Families,,Total
Albany,52296,104178,5068,3314,1389,320,154,217446
Allegany,15132,7369,612,446,270,27,21,28432
Broome,56135,48047,2911,1864,1396,218,98,136485
Cattaraugus,21714,19511,1149,1279,616,20,46,53862
Cayuga,20570,17286,1323,1725,532,48,44,51645
Chautauqua,33948,33967,2216,2511,1078,94,52,95534
Chemung,25276,17954,1635,754,672,32,33,57618
Chenango,15189,7906,902,568,376,40,28,31530
Clinton,18466,18109,1552,561,842,65,11,51826
Columbia,13977,10361,1230,1631,379,99,20,39809
Cortland,12821,9664,1009,518,418,46,35,32301
Delaware,15316,8257,769,604,277,47,13,30920
Dutchess,55819,46424,3947,3752,1556,266,108,159846
Erie,179327,314645,10997,14521,6516,551,416,627598
Essex,14348,6478,825,240,295,42,6,26862
Franklin,11470,10369,915,436,231,30,13,28137
Fulton,18221,7737,714,434,290,18,30,32105
Genesee,17147,10887,952,980,475,31,29,38824
Greene,13970,7162,723,1026,236,31,18,31903
Hamilton,3558,1029,76,63,19,2,0,5304
Herkimer,23641,12562,1182,674,430,22,20,46044
Jefferson,27757,17919,1804,936,696,38,37,61246
Lewis,9442,4457,347,233,156,14,10,16897
Livingston,18306,10588,1013,886,457,36,16,39272
Madison,20051,11773,1343,1006,520,63,30,44846
Monroe,154921,156871,9525,8908,3423,445,221,442551
Montgomery,12743,12104,824,651,385,18,14,32524
Nassau,378396,291314,11246,11220,5732,414,463,892314
Niagara,52405,62772,2515,3034,1961,85,109,148474
Oneida,57604,50311,3483,1840,1359,99,79,141175
Onondaga,109822,96705,7505,5552,2893,556,237,304286
Ontario,28196,19060,1805,1296,724,92,25,66182
Orange,79054,64803,4233,4295,1673,213,99,200786
Orleans,11595,6164,492,517,250,10,14,24363
Oswego,42697,20450,2249,2199,998,76,36,86018
Otsego,16235,11094,1070,544,409,66,15,37430
Putnam,22947,16972,1689,3034,455,68,33,63395
Rensselaer,30590,28818,3463,5269,1022,132,89,106624
Rockland,44284,77312,2994,4399,1216,133,195,173926
Saratoga,68022,31941,3889,1878,1099,133,56,141155
Schenectady,33790,35900,2461,2787,869,77,57,99442
Schoharie,7770,5351,447,364,188,25,7,18866
Schuyler,5443,3578,313,234,154,38,21,12504
Seneca,9245,6988,427,584,277,22,12,21848
St. Lawrence,26499,24692,1724,825,712,88,20,67586
Steuben,32030,14737,1421,892,626,53,49,58103
Suffolk,341436,246496,16699,22420,7570,581,491,873074
Sullivan,15858,19999,961,1162,422,33,23,51118
Tioga,16809,9011,936,497,296,32,18,33923
Tompkins,18578,25987,1651,483,655,536,66,62890
Ulster,34772,33242,2288,2917,1151,407,76,112805
Warren,23874,10106,1114,639,424,43,17,44609
Washington,17860,8689,928,637,382,29,27,36315
Wayne,25690,14160,1601,1605,627,33,31,57851
Westchester,166134,231323,10997,12690,3771,478,321,567216
Wyoming,12403,6921,628,511,283,15,18,25979
Yates,8508,3891,364,268,166,21,8,15793
Bronx,56184,492902,"5,941",4769,"5,471",152,641,668458
Kings,134952,906562,"12,444",6724,"9,206",1731,"1,309",1289955
New York,123254,681621,"17,003",2973,"8,054",2137,537,1029059
Queens,159715,636562,"11,286",9125,"8,212",724,795,1018159
Richmond,76832,113569,"3,416",5201,"1,970",126,338,249768
