COUNTY,REPUBLICAN,DEMOCRATIC,INDEPENDENCE,CONSERVATIVE,WORKING FAMILIES,GRE,LBT,TOTAL
Albany,42388,100493,9579,2935,684,564,45,199839
Allegany,14304,7316,1256,417,159,68,14,28568
Broome,46949,47688,6031,1534,649,421,61,126042
Cattaraugus,19604,17664,2230,1042,315,107,11,50982
Cayuga,18593,17072,2457,1267,215,128,7,49522
Chautauqua,29104,31562,5119,2071,485,168,47,88748
Chemung,22957,18555,2997,668,271,111,10,56261
Chenango,13760,8669,1728,469,208,143,15,31588
Clinton,16509,18761,3186,464,225,138,13,50641
Columbia,13173,13916,2823,1227,211,202,22,43348
Cortland,11260,10089,1644,440,140,86,1,30937
Delaware,13291,8434,1503,471,107,120,11,29417
Dutchess,56909,62597,9615,3460,690,477,84,183792
Erie,172925,331131,26895,12974,2970,1575,199,659531
Essex,13281,7180,1855,200,77,82,8,27572
Franklin,10248,10723,1586,352,105,60,3,28290
Fulton,16909,8401,1546,469,146,61,6,32838
Genesee,16430,10177,1706,834,197,73,13,37255
Greene,13275,7915,1771,847,119,81,2,32129
Hamilton,3004,1062,201,45,8,6,0,4887
Herkimer,20080,11614,2315,549,138,76,4,41661
Jefferson,26173,18197,3157,781,222,97,6,61188
Lewis,9257,4720,720,243,51,27,5,17637
Livingston,17770,11602,1857,806,158,130,19,41084
Madison,17739,12462,2796,842,223,141,8,43929
Monroe,142276,188640,18970,7995,1482,1154,250,470196
Montgomery,10993,10862,1493,581,133,54,9,30243
Nassau,334204,354440,28134,9576,1960,1163,0,929153
Niagara,47112,60649,6020,2761,995,261,8,141570
Oneida,52426,47984,7012,1672,495,162,2,134543
Onondaga,95017,112524,13922,4777,1435,814,138,304881
Ontario,27913,21053,3637,1238,176,186,6,69890
Orange,75861,80079,10524,3603,763,534,35,219578
Orleans,11654,6445,1115,507,152,53,9,25389
Oswego,36617,20696,3913,1716,409,145,22,79701
Otsego,14430,11791,2143,500,133,142,16,36828
Putnam,22856,18752,3358,2123,180,146,20,63424
Rensselaer,27597,31380,7133,4636,1434,301,54,104469
Rockland,44908,86841,6725,3517,565,222,3,184898
Saratoga,67796,41414,8623,2110,445,342,40,158065
Schenectady,27795,37767,5108,3165,665,195,4,97491
Schoharie,8055,5447,1235,398,85,78,16,19892
Schuyler,5197,3717,692,207,88,73,3,12663
Seneca,8310,6751,920,425,114,54,4,20500
St.Lawrence,23280,24132,3291,791,287,176,23,64755
Steuben,31545,16268,2927,836,272,152,14,61777
Suffolk,332433,325859,39570,22254,4137,1829,307,984475
Sullivan,14447,20484,2332,1028,231,154,7,50827
Tioga,15291,9284,1665,372,138,99,17,33170
Tompkins,14854,28221,2514,362,255,639,,60664
Ulster,32129,42710,5603,2708,575,828,,122674
Warren,21931,11463,2491,585,162,152,,45655
Washington,17158,9948,2359,599,223,129,,38706
Wayne,24336,14976,2810,1408,249,130,,58030
Westchester,148768,278548,22963,9325,1508,808,,596021
Wyoming,11614,6522,1148,477,102,16,,25003
Yates,7349,3892,674,242,66,40,,14965
