Popluation 2010,County,State
304204,Albany County, New York
48946,Allegany County, New York
1385108,Bronx County, New York
200600,Broome County, New York
80317,Cattaraugus County, New York
80026,Cayuga County, New York
134905,Chautauqua County, New York
88830,Chemung County, New York
50477,Chenango County, New York
82128,Clinton County, New York
63096,Columbia County, New York
49336,Cortland County, New York
47980,Delaware County, New York
297488,Dutchess County, New York
919040,Erie County, New York
39370,Essex County, New York
51599,Franklin County, New York
55531,Fulton County, New York
60079,Genesee County, New York
49221,Greene County, New York
4836,Hamilton County, New York
64519,Herkimer County, New York
116229,Jefferson County, New York
2504700,Kings County, New York
27087,Lewis County, New York
65393,Livingston County, New York
73442,Madison County, New York
744344,Monroe County, New York
50219,Montgomery County, New York
1339532,Nassau County, New York
1585873,New York County, New York
216469,Niagara County, New York
234878,Oneida County, New York
467026,Onondaga County, New York
107931,Ontario County, New York
372813,Orange County, New York
42883,Orleans County, New York
122109,Oswego County, New York
62259,Otsego County, New York
99710,Putnam County, New York
2230722,Queens County, New York
159429,Rensselaer County, New York
468730,Richmond County, New York
311687,Rockland County, New York
219607,Saratoga County, New York
154727,Schenectady County, New York
32749,Schoharie County, New York
18343,Schuyler County, New York
35251,Seneca County, New York
111944,St. Lawrence County, New York
98990,Steuben County, New York
1493350,Suffolk County, New York
77547,Sullivan County, New York
51125,Tioga County, New York
101564,Tompkins County, New York
182493,Ulster County, New York
65707,Warren County, New York
63216,Washington County, New York
93772,Wayne County, New York
949113,Westchester County, New York
42155,Wyoming County, New York
25348,Yates County, New York
