Response Rate10,County, State
51,Allegany County ,New York
64,Bronx County ,New York
67,Broome County ,New York
57,Cattaraugus County ,New York
63,Cayuga County ,New York
60,Chautauqua County ,New York
70,Chemung County ,New York
58,Chenango County ,New York
61,Clinton County ,New York
50,Columbia County ,New York
66,Cortland County ,New York
49,Delaware County ,New York
65,Dutchess County ,New York
69,Erie County ,New York
62,Fulton County ,New York
51,Essex County ,New York
59,Franklin County ,New York
70,Genesee County ,New York
49,Greene County ,New York
40,Hamilton County ,New York
67,Herkimer County ,New York
59,Jefferson County ,New York
57,Kings County ,New York
66,Lewis County ,New York
66,Livingston County ,New York
66,Madison County ,New York
72,Monroe County ,New York
58,Montgomery County ,New York
70,Nassau County ,New York
66,New York County ,New York
69,Niagara County ,New York
65,Oneida County ,New York
71,Onondaga County ,New York
70,Ontario County ,New York
61,Orange County ,New York
66,Orleans County ,New York
63,Oswego County ,New York
57,Otsego County ,New York
66,Putnam County ,New York
60,Queens County ,New York
65,Rensselaer County ,New York
65,Richmond County ,New York
71,Rockland County ,New York
62,St. Lawrence County ,New York
71,Saratoga County ,New York
69,Schenectady County ,New York
58,Schoharie County ,New York
58,Schuyler County ,New York
63,Seneca County ,New York
60,Steuben County ,New York
67,Suffolk County ,New York
42,Sullivan County ,New York
71,Tioga County ,New York
67,Tompkins County ,New York
57,Ulster County ,New York
57,Warren County ,New York
61,Washington County ,New York
68,Wayne County ,New York
67,Westchester County ,New York
64,Wyoming County ,New York
56,Yates County ,New York
68,Albany County ,New York
