 Response Rate20,County, State
206195,Albany County, New York
29956,Allegany County, New York
746284,Bronx County, New York
144385,Broome County, New York
53731,Cattaraugus County, New York
49177,Cayuga County, New York
92235,Chautauqua County, New York
68302,Chemung County, New York
33410,Chenango County, New York
54327,Clinton County, New York
39118,Columbia County, New York
31103,Cortland County, New York
25469,Delaware County, New York
190502,Dutchess County, New York
703196,Erie County, New York
22533,Essex County, New York
34259,Franklin County, New York
33594,Fulton County, New York
44673,Genesee County, New York
23615,Greene County, New York
3819,Hamilton County, New York
38656,Herkimer County, New York
56986,Jefferson County, New York
1627115,Kings County, New York
18860,Lewis County, New York
48889,Livingston County, New York
47914,Madison County, New York
544153,Monroe County, New York
29824,Montgomery County, New York
1000908,Nassau County, New York
1029920,New York County, New York
158289,Niagara County, New York
155409,Oneida County, New York
302501,Onondaga County, New York
69154,Ontario County, New York
228715,Orange County, New York
26944,Orleans County, New York
81992,Oswego County, New York
33305,Otsego County, New York
64149,Putnam County, New York
1382214,Queens County, New York
103725,Rensselaer County, New York
288423,Richmond County, New York
194992,Rockland County, New York
140444,Saratoga County, New York
83536,Schenectady County, New York
20528,Schoharie County, New York
12111,Schuyler County, New York
22672,Seneca County, New York
76113,St. Lawrence County, New York
43439,Steuben County, New York
1078720,Suffolk County, New York
50296,Sullivan County, New York
32106,Tioga County, New York
55970,Tompkins County, New York
113759,Ulster County, New York
44312,Warren County, New York
41508,Washington County, New York
65635,Wayne County, New York
535606,Westchester County, New York
0,Wyoming County, New York
0,Yates County, New York
